State_Code,State_Abv,Offense_Type,Total_Offenses
1,AL,Assault,68366
1,AL,Homicide,381
1,AL,Human_Trafficking,18
1,AL,Kidnapping,388
1,AL,Sex_Offense,1702
2,AK,Assault,5945
2,AK,Homicide,31
2,AK,Human_Trafficking,2
2,AK,Kidnapping,29
2,AK,Sex_Offense,851
4,AZ,Assault,40946
4,AZ,Homicide,235
4,AZ,Human_Trafficking,7
4,AZ,Kidnapping,706
4,AZ,Sex_Offense,3478
5,AR,Assault,62317
5,AR,Homicide,339
5,AR,Human_Trafficking,6
5,AR,Kidnapping,658
5,AR,Sex_Offense,3059
6,CA,Assault,29983
6,CA,Homicide,126
6,CA,Human_Trafficking,0
6,CA,Kidnapping,576
6,CA,Sex_Offense,2022
8,CO,Assault,60730
8,CO,Homicide,434
8,CO,Human_Trafficking,63
8,CO,Kidnapping,2528
8,CO,Sex_Offense,6890
9,CT,Assault,28878
9,CT,Homicide,164
9,CT,Human_Trafficking,13
9,CT,Kidnapping,282
9,CT,Sex_Offense,1868
10,DE,Assault,15724
10,DE,Homicide,108
10,DE,Human_Trafficking,5
10,DE,Kidnapping,198
10,DE,Sex_Offense,705
12,FL,Assault,405
12,FL,Homicide,0
12,FL,Human_Trafficking,0
12,FL,Kidnapping,6
12,FL,Sex_Offense,16
13,GA,Assault,113071
13,GA,Homicide,794
13,GA,Human_Trafficking,171
13,GA,Kidnapping,2262
13,GA,Sex_Offense,7312
15,HI,Assault,10707
15,HI,Homicide,8
15,HI,Human_Trafficking,5
15,HI,Kidnapping,295
15,HI,Sex_Offense,646
16,ID,Assault,15311
16,ID,Homicide,46
16,ID,Human_Trafficking,4
16,ID,Kidnapping,220
16,ID,Sex_Offense,2234
17,IL,Assault,86266
17,IL,Homicide,536
17,IL,Human_Trafficking,7
17,IL,Kidnapping,633
17,IL,Sex_Offense,3645
18,IN,Assault,60965
18,IN,Homicide,495
18,IN,Human_Trafficking,58
18,IN,Kidnapping,1578
18,IN,Sex_Offense,4777
19,IA,Assault,30201
19,IA,Homicide,96
19,IA,Human_Trafficking,14
19,IA,Kidnapping,235
19,IA,Sex_Offense,2197
20,KS,Assault,34002
20,KS,Homicide,95
20,KS,Human_Trafficking,0
20,KS,Kidnapping,1195
20,KS,Sex_Offense,2190
21,KY,Assault,44032
21,KY,Homicide,426
21,KY,Human_Trafficking,38
21,KY,Kidnapping,1179
21,KY,Sex_Offense,3171
22,LA,Assault,53294
22,LA,Homicide,477
22,LA,Human_Trafficking,8
22,LA,Kidnapping,630
22,LA,Sex_Offense,1944
23,ME,Assault,12209
23,ME,Homicide,30
23,ME,Human_Trafficking,2
23,ME,Kidnapping,25
23,ME,Sex_Offense,1044
24,MD,Assault,25455
24,MD,Homicide,153
24,MD,Human_Trafficking,4
24,MD,Kidnapping,61
24,MD,Sex_Offense,1706
25,MA,Assault,67351
25,MA,Homicide,153
25,MA,Human_Trafficking,41
25,MA,Kidnapping,582
25,MA,Sex_Offense,4126
26,MI,Assault,148483
26,MI,Homicide,870
26,MI,Human_Trafficking,42
26,MI,Kidnapping,922
26,MI,Sex_Offense,11646
27,MN,Assault,44593
27,MN,Homicide,276
27,MN,Human_Trafficking,105
27,MN,Kidnapping,640
27,MN,Sex_Offense,5005
28,MS,Assault,22153
28,MS,Homicide,173
28,MS,Human_Trafficking,3
28,MS,Kidnapping,105
28,MS,Sex_Offense,1002
29,MO,Assault,77898
29,MO,Homicide,641
29,MO,Human_Trafficking,43
29,MO,Kidnapping,966
29,MO,Sex_Offense,4743
30,MT,Assault,13975
30,MT,Homicide,39
30,MT,Human_Trafficking,2
30,MT,Kidnapping,297
30,MT,Sex_Offense,1680
31,NE,Assault,15158
31,NE,Homicide,47
31,NE,Human_Trafficking,199
31,NE,Kidnapping,162
31,NE,Sex_Offense,1615
32,NV,Assault,61689
32,NV,Homicide,245
32,NV,Human_Trafficking,218
32,NV,Kidnapping,898
32,NV,Sex_Offense,4016
33,NH,Assault,12764
33,NH,Homicide,23
33,NH,Human_Trafficking,9
33,NH,Kidnapping,217
33,NH,Sex_Offense,1790
34,NJ,Assault,16532
34,NJ,Homicide,140
34,NJ,Human_Trafficking,2
34,NJ,Kidnapping,85
34,NJ,Sex_Offense,969
35,NM,Assault,25449
35,NM,Homicide,193
35,NM,Human_Trafficking,12
35,NM,Kidnapping,822
35,NM,Sex_Offense,1663
36,NY,Assault,34335
36,NY,Homicide,125
36,NY,Human_Trafficking,4
36,NY,Kidnapping,569
36,NY,Sex_Offense,1750
37,NC,Assault,134322
37,NC,Homicide,1020
37,NC,Human_Trafficking,60
37,NC,Kidnapping,1040
37,NC,Sex_Offense,6668
38,ND,Assault,11803
38,ND,Homicide,28
38,ND,Human_Trafficking,7
38,ND,Kidnapping,116
38,ND,Sex_Offense,1121
39,OH,Assault,144022
39,OH,Homicide,842
39,OH,Human_Trafficking,28
39,OH,Kidnapping,1922
39,OH,Sex_Offense,7936
40,OK,Assault,56383
40,OK,Homicide,346
40,OK,Human_Trafficking,27
40,OK,Kidnapping,732
40,OK,Sex_Offense,4666
41,OR,Assault,36127
41,OR,Homicide,242
41,OR,Human_Trafficking,38
41,OR,Kidnapping,493
41,OR,Sex_Offense,3602
42,PA,Assault,29675
42,PA,Homicide,548
42,PA,Human_Trafficking,16
42,PA,Kidnapping,68
42,PA,Sex_Offense,1457
44,RI,Assault,8268
