State_Code,State_Abv,Offense_Type,Total_Offenses
1,AL,Arson,456
1,AL,Bribery,11
1,AL,Burglary/ Breaking & Entering,12491
1,AL,Counterfeiting/ Forgery,2483
1,AL,Destruction/ Damage/ Vandalism ,27112
1,AL,Embezzlement,124
1,AL,Extortion/ Blackmail,122
1,AL,Fraud Offenses,10712
1,AL,Larceny/ Theft Offenses,55804
1,AL,Motor Vehicle Theft,9902
1,AL,Robbery,1481
1,AL,Stolen Property Offenses,1576
2,AK,Arson,59
2,AK,Bribery,2
2,AK,Burglary/ Breaking & Entering,786
2,AK,Counterfeiting/ Forgery,122
2,AK,Destruction/ Damage/ Vandalism ,2199
2,AK,Embezzlement,22
2,AK,Extortion/ Blackmail,34
2,AK,Fraud Offenses,602
2,AK,Larceny/ Theft Offenses,2761
2,AK,Motor Vehicle Theft,611
2,AK,Robbery,72
2,AK,Stolen Property Offenses,31
4,AZ,Arson,413
4,AZ,Bribery,11
4,AZ,Burglary/ Breaking & Entering,8763
4,AZ,Counterfeiting/ Forgery,1231
4,AZ,Destruction/ Damage/ Vandalism ,22229
4,AZ,Embezzlement,261
4,AZ,Extortion/ Blackmail,256
4,AZ,Fraud Offenses,14733
4,AZ,Larceny/ Theft Offenses,48802
4,AZ,Motor Vehicle Theft,5818
4,AZ,Robbery,1129
4,AZ,Stolen Property Offenses,1002
5,AR,Arson,557
5,AR,Bribery,2
5,AR,Burglary/ Breaking & Entering,14101
5,AR,Counterfeiting/ Forgery,3056
5,AR,Destruction/ Damage/ Vandalism ,27186
5,AR,Embezzlement,88
5,AR,Extortion/ Blackmail,59
5,AR,Fraud Offenses,12169
5,AR,Larceny/ Theft Offenses,54687
5,AR,Motor Vehicle Theft,8110
5,AR,Robbery,1272
5,AR,Stolen Property Offenses,2498
6,CA,Arson,407
6,CA,Bribery,2
6,CA,Burglary/ Breaking & Entering,7103
6,CA,Counterfeiting/ Forgery,960
6,CA,Destruction/ Damage/ Vandalism ,14837
6,CA,Embezzlement,225
6,CA,Extortion/ Blackmail,148
6,CA,Fraud Offenses,7873
6,CA,Larceny/ Theft Offenses,34122
6,CA,Motor Vehicle Theft,11272
6,CA,Robbery,2300
6,CA,Stolen Property Offenses,2064
8,CO,Arson,1341
8,CO,Bribery,113
8,CO,Burglary/ Breaking & Entering,22988
8,CO,Counterfeiting/ Forgery,3037
8,CO,Destruction/ Damage/ Vandalism ,55838
8,CO,Embezzlement,329
8,CO,Extortion/ Blackmail,887
8,CO,Fraud Offenses,41910
8,CO,Larceny/ Theft Offenses,120385
8,CO,Motor Vehicle Theft,40851
8,CO,Robbery,4310
8,CO,Stolen Property Offenses,3746
9,CT,Arson,163
9,CT,Bribery,5
9,CT,Burglary/ Breaking & Entering,5100
9,CT,Counterfeiting/ Forgery,1120
9,CT,Destruction/ Damage/ Vandalism ,16425
9,CT,Embezzlement,191
9,CT,Extortion/ Blackmail,183
9,CT,Fraud Offenses,8528
9,CT,Larceny/ Theft Offenses,41977
9,CT,Motor Vehicle Theft,7407
9,CT,Robbery,1930
9,CT,Stolen Property Offenses,1341
10,DE,Arson,155
10,DE,Bribery,5
10,DE,Burglary/ Breaking & Entering,2371
10,DE,Counterfeiting/ Forgery,389
10,DE,Destruction/ Damage/ Vandalism ,9217
10,DE,Embezzlement,116
10,DE,Extortion/ Blackmail,64
10,DE,Fraud Offenses,9756
10,DE,Larceny/ Theft Offenses,15395
10,DE,Motor Vehicle Theft,1609
10,DE,Robbery,570
10,DE,Stolen Property Offenses,538
12,FL,Arson,0
12,FL,Bribery,0
12,FL,Burglary/ Breaking & Entering,22
12,FL,Counterfeiting/ Forgery,6
12,FL,Destruction/ Damage/ Vandalism ,99
12,FL,Embezzlement,6
12,FL,Extortion/ Blackmail,0
12,FL,Fraud Offenses,78
12,FL,Larceny/ Theft Offenses,662
12,FL,Motor Vehicle Theft,50
12,FL,Robbery,24
12,FL,Stolen Property Offenses,22
13,GA,Arson,688
13,GA,Bribery,26
13,GA,Burglary/ Breaking & Entering,18452
13,GA,Counterfeiting/ Forgery,5436
13,GA,Destruction/ Damage/ Vandalism ,43926
13,GA,Embezzlement,451
13,GA,Extortion/ Blackmail,331
13,GA,Fraud Offenses,33582
13,GA,Larceny/ Theft Offenses,114819
13,GA,Motor Vehicle Theft,17985
13,GA,Robbery,4053
13,GA,Stolen Property Offenses,3424
15,HI,Arson,325
15,HI,Bribery,2
15,HI,Burglary/ Breaking & Entering,3463
15,HI,Counterfeiting/ Forgery,395
15,HI,Destruction/ Damage/ Vandalism ,1053
15,HI,Embezzlement,29
15,HI,Extortion/ Blackmail,113
15,HI,Fraud Offenses,4170
15,HI,Larceny/ Theft Offenses,20064
15,HI,Motor Vehicle Theft,4286
15,HI,Robbery,734
15,HI,Stolen Property Offenses,744
16,ID,Arson,140
16,ID,Bribery,3
16,ID,Burglary/ Breaking & Entering,2811
16,ID,Counterfeiting/ Forgery,627
16,ID,Destruction/ Damage/ Vandalism ,6959
16,ID,Embezzlement,118
16,ID,Extortion/ Blackmail,90
16,ID,Fraud Offenses,5252
16,ID,Larceny/ Theft Offenses,13226
16,ID,Motor Vehicle Theft,1618
16,ID,Robbery,156
16,ID,Stolen Property Offenses,407
17,IL,Arson,541
17,IL,Bribery,6
17,IL,Burglary/ Breaking & Entering,11465
17,IL,Counterfeiting/ Forgery,1849
17,IL,Destruction/ Damage/ Vandalism ,42370
17,IL,Embezzlement,67
17,IL,Extortion/ Blackmail,171
17,IL,Fraud Offenses,24685
17,IL,Larceny/ Theft Offenses,57784
17,IL,Motor Vehicle Theft,11430
17,IL,Robbery,5955
17,IL,Stolen Property Offenses,458
18,IN,Arson,720
18,IN,Bribery,19
18,IN,Burglary/ Breaking & Entering,11661
18,IN,Counterfeiting/ Forgery,1800
18,IN,Destruction/ Damage/ Vandalism ,10585
18,IN,Embezzlement,487
18,IN,Extortion/ Blackmail,141
