State_Code,State_Abv,Offense_Type,Total_Offenses
1,AL,Animal Cruelty,351
1,AL,Drugs/Narcotic Offenses,25687
1,AL,Pornography,286
1,AL,Prostitution Offenses,39
1,AL,Weapon Law Violations,3699
2,AK,Animal Cruelty,20
2,AK,Drugs/Narcotic Offenses,1229
2,AK,Pornography,36
2,AK,Prostitution Offenses,18
2,AK,Weapon Law Violations,427
4,AZ,Animal Cruelty,396
4,AZ,Drugs/Narcotic Offenses,29650
4,AZ,Pornography,749
4,AZ,Prostitution Offenses,164
4,AZ,Weapon Law Violations,3254
5,AR,Animal Cruelty,30
5,AR,Drugs/Narcotic Offenses,34344
5,AR,Pornography,490
5,AR,Prostitution Offenses,101
5,AR,Weapon Law Violations,3632
6,CA,Animal Cruelty,40
6,CA,Drugs/Narcotic Offenses,21994
6,CA,Pornography,54
6,CA,Prostitution Offenses,380
6,CA,Weapon Law Violations,3474
8,CO,Animal Cruelty,860
8,CO,Drugs/Narcotic Offenses,24110
8,CO,Pornography,927
8,CO,Prostitution Offenses,296
8,CO,Weapon Law Violations,8180
9,CT,Animal Cruelty,149
9,CT,Drugs/Narcotic Offenses,7220
9,CT,Pornography,239
9,CT,Prostitution Offenses,37
9,CT,Weapon Law Violations,3044
10,DE,Animal Cruelty,1280
10,DE,Drugs/Narcotic Offenses,8902
10,DE,Pornography,97
10,DE,Prostitution Offenses,27
10,DE,Weapon Law Violations,2227
12,FL,Animal Cruelty,2
12,FL,Drugs/Narcotic Offenses,162
12,FL,Pornography,2
12,FL,Prostitution Offenses,1
12,FL,Weapon Law Violations,25
13,GA,Animal Cruelty,1180
13,GA,Drugs/Narcotic Offenses,44766
13,GA,Pornography,1208
13,GA,Prostitution Offenses,287
13,GA,Weapon Law Violations,7085
15,HI,Animal Cruelty,49
15,HI,Drugs/Narcotic Offenses,2137
15,HI,Pornography,81
15,HI,Prostitution Offenses,31
15,HI,Weapon Law Violations,392
16,ID,Animal Cruelty,58
16,ID,Drugs/Narcotic Offenses,25531
16,ID,Pornography,262
16,ID,Prostitution Offenses,36
16,ID,Weapon Law Violations,1149
17,IL,Animal Cruelty,89
17,IL,Drugs/Narcotic Offenses,11375
17,IL,Pornography,540
17,IL,Prostitution Offenses,95
17,IL,Weapon Law Violations,5755
18,IN,Animal Cruelty,627
18,IN,Drugs/Narcotic Offenses,41868
18,IN,Pornography,747
18,IN,Prostitution Offenses,116
18,IN,Weapon Law Violations,6470
19,IA,Animal Cruelty,627
19,IA,Drugs/Narcotic Offenses,41868
19,IA,Pornography,747
19,IA,Prostitution Offenses,116
19,IA,Weapon Law Violations,6470
20,KS,Animal Cruelty,0
20,KS,Drugs/Narcotic Offenses,27863
20,KS,Pornography,381
20,KS,Prostitution Offenses,114
20,KS,Weapon Law Violations,6470
21,KY,Animal Cruelty,215
21,KY,Drugs/Narcotic Offenses,43248
21,KY,Pornography,582
21,KY,Prostitution Offenses,65
