Age,Assault Offenses,Homicide Offenses,Human Trafficking Offenses,Kidnapping/Abduction,Sex Offenses,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism ,Embezzlement,Extortion/Blackmail,Fraud Offenses,Larceny/Theft Offenses,Motor Vehicle Theft,Robbery,Stolen Property Offenses
10 And Below,81158,562,94,3930,32079,464,3,2299,98,2390,10,22,1186,4923,353,812,956
11 - 15,143951,338,513,2266,51434,276,13,2731,89,3255,15,670,1436,15171,268,3580,282
16 - 20,256062,2165,637,4128,32948,682,68,19470,1451,52537,125,3236,25093,114153,17466,16183,3414
21 - 25,351830,2443,227,5306,15230,1399,83,48303,2613,115237,349,2096,49026,249039,53544,20963,7367
26 - 30,374771,2417,145,5430,11117,1822,90,56547,3629,128312,457,1340,57405,272370,67142,18514,8856
31 - 35,347661,2042,144,4765,9083,2171,87,57358,4192,124755,590,1003,60889,257696,65102,16214,8372
36 - 40,292157,1578,81,3588,7118,2192,49,53607,4424,114773,680,866,62083,231340,59188,13432,7776
41 - 45,224222,1155,34,2566,5016,2016,48,46521,4338,99933,600,670,62237,195676,51785,10666,6677
46 - 50,175238,944,30,1689,3573,1897,25,42398,4358,88356,611,591,62438,175193,46016,8668,6268
51 - 55,144000,777,14,1079,2588,1715,18,41461,4720,81557,619,490,62157,163137,41715,7911,5607
56 - 60,120080,634,20,778,1932,1771,14,41581,5239,77720,581,445,62425,154999,38733,7234,6085
61 - 65,77000,484,3,465,1131,1345,15,35348,5031,62329,494,317,54957,125770,29139,5098,4067
66 and Above,85686,774,6,610,1917,2336,17,67410,13779,99641,1263,590,124105,222164,44013,5705,7195
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
